City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,stanley,54.868,-1.6985,282.33,90,20,7.72,GB,2024-12-31
80,yellowknife,62.456,-114.3525,253.36,96,100,5.18,CA,2024-12-31
81,catemaco,18.4167,-95.1167,296.47,78,91,0.47,MX,2024-12-31
82,ancud,-41.8697,-73.8203,287.18,69,51,4.27,CL,2024-12-31
83,keflavik,64.0049,-22.5624,270.39,63,75,6.17,IS,2024-12-31
84,sao joao da barra,-21.6403,-41.0511,302.2,81,14,4.46,BR,2024-12-31
85,madang,-5.2246,145.7966,298.79,86,83,1.09,PG,2024-12-31
86,lebu,-37.6167,-73.65,288.7,55,1,8.33,CL,2024-12-31
87,menongue,-14.6585,17.691,298.53,59,97,2.58,AO,2024-12-31
88,klyuchi,52.2667,79.1667,255.81,99,46,2.33,RU,2024-12-31
89,tabas,33.5959,56.9244,286.08,44,86,1.67,IR,2024-12-31
90,wailua homesteads,22.0669,-159.378,296.59,100,20,5.66,US,2024-12-31
91,caninde,-4.3589,-39.3117,308.11,35,64,3.97,BR,2024-12-31
92,ulysses,37.5814,-101.3552,268.17,100,0,4.12,US,2024-12-31
93,pingnan,23.5543,110.3976,288.02,49,0,1.73,CN,2024-12-31
94,qaqortoq,60.7167,-46.0333,258.04,71,0,2.3,GL,2024-12-31
95,carnarvon,-24.8667,113.6333,299.65,73,45,7.01,AU,2024-12-31
96,north platte,41.1239,-100.7654,269.09,76,100,4.63,US,2024-12-31
97,vila franca do campo,37.7167,-25.4333,291.42,99,100,8.34,PT,2024-12-31
98,tongliao,43.6125,122.2653,265.5,49,0,5.11,CN,2024-12-31
99,badger,64.8,-147.5333,246.29,75,0,0.0,US,2024-12-31
100,ilulissat,69.2167,-51.1,261.16,48,20,2.06,GL,2024-12-31
101,bredasdorp,-34.5322,20.0403,296.22,46,0,8.72,ZA,2024-12-31
102,tot'ma,59.9747,42.7642,268.97,91,100,4.87,RU,2024-12-31
103,tongouson,5.0214,120.1328,301.44,77,100,3.16,PH,2024-12-31
104,eregli,37.5133,34.0467,277.96,62,100,0.62,TR,2024-12-31
105,muravlenko,63.7898,74.523,265.87,87,100,12.33,RU,2024-12-31
106,thunder bay,48.4001,-89.3168,270.72,73,100,3.6,CA,2024-12-31
107,quepos,9.4236,-84.1652,300.28,74,100,0.97,CR,2024-12-31
108,dingtao,35.0683,115.5625,277.06,39,0,3.43,CN,2024-12-31
109,vorgashor,67.5833,63.95,267.31,86,100,8.47,RU,2024-12-31
110,ghat,24.9647,10.1728,295.91,15,66,5.99,LY,2024-12-31
111,udachny,66.4167,112.4,238.8,100,100,1.34,RU,2024-12-31
112,tura,25.5198,90.2201,288.63,66,0,1.59,IN,2024-12-31
113,mogadishu,2.0371,45.3438,298.79,76,50,9.34,SO,2024-12-31
114,veydelevka,50.1521,38.4492,275.12,88,81,6.82,RU,2024-12-31
115,sligo,54.2697,-8.4694,283.11,81,100,11.83,IE,2024-12-31
116,verkhnevilyuysk,63.4453,120.3167,223.77,100,83,0.65,RU,2024-12-31
117,mpongwe,-13.5091,28.155,294.26,91,100,1.48,ZM,2024-12-31
118,bilibino,68.0546,166.4372,250.08,89,17,2.96,RU,2024-12-31
119,nema,57.5067,50.5011,269.39,92,100,4.79,RU,2024-12-31
120,lorengau,-2.0226,147.2712,299.81,82,100,1.87,PG,2024-12-31
121,katsuren-haebaru,26.3369,127.8719,289.16,70,20,0.0,JP,2024-12-31
122,gamba,-2.65,10.0,301.5,74,81,4.02,GA,2024-12-31
123,blackmans bay,-43.0167,147.3167,288.22,88,12,2.54,AU,2024-12-31
124,punta arenas,-53.15,-70.9167,286.21,76,75,6.69,CL,2024-12-31
125,broome,42.2506,-75.833,277.84,82,0,3.6,US,2024-12-31
126,kiunga,-6.1219,141.2906,296.16,90,30,0.58,PG,2024-12-31
127,aktanysh,55.7216,54.0829,269.75,92,100,5.72,RU,2024-12-31
128,shalqar,47.8333,59.6,267.09,94,40,3.44,KZ,2024-12-31
129,takoradi,4.8845,-1.7554,302.67,67,68,5.27,GH,2024-12-31
130,kapuskasing,49.4169,-82.4331,270.54,88,100,3.59,CA,2024-12-31
131,ribeira grande,38.5167,-28.7,292.37,88,75,12.07,PT,2024-12-31
132,shingu,33.7333,135.9833,276.94,69,2,2.77,JP,2024-12-31
133,qamdo,31.1667,97.2333,266.79,24,1,0.83,CN,2024-12-31
134,georgetown,5.4112,100.3354,301.11,82,20,1.03,MY,2024-12-31
135,dakhla,23.6848,-15.958,294.03,39,10,4.78,EH,2024-12-31
